id,content
06f85093-b003-4e26-985a-2029141be9e9,Shutting the fuck up.
06f985a9-6883-42e5-be64-80adce07d7f2,The size of my penis.
0713027a-890e-4d03-af5f-5963f9dfa8b4,Winning the approval of Cooking Mama that you never got from actual mama.
0728d7e1-2957-4a22-9e96-a7fd504ed27e,Blackula.
072c9e1b-7646-4397-ad16-30e7808cad8e,Grinning like an idiot.
0757e0ab-ba08-4fb1-9b2d-d742cfc42348,Oprah.
075a6a32-cf92-4b35-8a5f-112dd26a0b2f,The diminishing purity of the white race.
0760fb5b-3a7b-4761-a4ba-696266957d35,Being rich.
076c22bc-e395-48c8-ae3e-d4800894d635,"Krampus, the Austrian Christmas monster."
076d0af4-338f-45ae-b2ca-1cd6b77f4197,The best taquito in the galaxy.
076fb3b5-8dd0-4610-951c-af4b03f25824,Being a terrible mother.
079836b7-1bba-4e42-908d-6c97fc2cb7d4,A crappy little hand.
07caf37f-0fef-445b-9210-9454c8c93c7b,Child support payments.
07fccd2e-03f1-4afe-bdef-08b99a832c3a,Jesus.
0813bbe9-e218-40b1-bec6-96e15058b220,Trying to wake up from this nightmare.
0830ba39-2823-4150-96df-5bf92bf9287f,A dollop of sour cream.
087deded-7ec2-4b49-83e3-c15ca7f8dffa,How cool it is that I love Jesus and he loves me back.
0881791f-6708-4971-ab93-a016985b0a23,How many drinks Aunt Deborah has had.
08b1ec3a-900e-42f0-b047-a590e0b0e55e,Such a big boy.
08eca712-b6fc-4b71-b993-d8a5853926ca,A phantasmagoria of anal delights.
0911f360-9faa-488e-ac6d-b584c15f6c46,Wearing Nicolas Cage's face.
091ef211-0fb1-44ae-8b30-ff35927c0ea8,Some real spicy shrimps.
09a66a08-8a5c-43ff-ab58-73922e3a9609,Discharging a firearm in a residential area.
09a976fd-9743-4c84-80dc-e8cff116ec7b,Chunks of dead backpacker.
09b71fd6-f3af-4ff0-986c-8a1373fc54ef,Denying climate change.
09b7a259-9261-4d21-b842-8514eec52d7b,50 mg of Zoloft daily.
09c62a97-0e0e-4a70-b8ad-bd457ca648e5,Deflowering the princess.
09ded0b9-5b4f-4d2d-9d2e-fb82e85f4d29,Unsheathing my massive horse cock.
09ed27b0-1941-44d8-965c-474d49edebf9,"The shittier, Jewish version of Christmas."
0a12a962-253f-4b09-b37a-fb907a4ffcd7,Power.
0a1f2207-d2b8-4559-9108-1d586198ce4f,"The penny whistle solo from ""My Heart Will Go On."""
0a2c6c60-f7f9-4564-a8ba-0dd55c78e33a,Taking a shit while running at full speed.
0a653616-867e-4168-9a98-005223df34bc,All of this blood.
0a764728-54a0-4f7c-9e29-714546865534,8 oz. of sweet Mexican black-tar heroin.
0a7d7ca2-f621-4842-9646-9c64046a5ed4,Disco Mussolini.
0aadd4d0-cfbc-4804-939e-6e6821187685,The boner hatch in the Iron Man suit.
0ad7542c-9423-4648-9392-c6c47b9ee872,An entrenched class system.
0ae29922-f5e0-49b6-84ee-d1c45fa0022a,An exclusive partnership with Taylor Swift.
0b099e4a-cc88-42a0-a551-473ea6df6dff,Murder.
0b2ba97a-ad38-4f5a-a500-db19addb9b56,Swearing praise upon the Sultan's hideous daughters.
0b314cdb-8655-4994-be39-f4762896279f,A boxing match with a giant box.
0b56f019-6d08-4510-af37-0e2e1db8549f,A bitch slap.
0b9d7971-3329-4ace-92ee-c0a4c7255060,KHAAAAAAAAAN!
0bc27470-a3ed-414e-acf8-0bee71da9009,Kicking the middle class in the balls with a regressive tax code.
0bce65b9-bf56-47a6-8542-0256b8a76f41,Nippers.
0bdac69c-baff-489c-a48e-ce462fd8bae3,Infinity.
0bf09d8a-b67c-43c2-b918-281b0bf09ae8,"The cool, refreshing taste of Coca-Cola.&reg;"
0bf7c88c-2963-488b-aa39-fad0ad35618d,More elephant cock than I bargained for.
0c0cb96d-8808-49e8-b53b-ddf2f66a39b9,A man on the brink of orgasm.
0c51bfaf-1a8f-43da-a725-eeed7dbd21d6,Being sexually attracted to children.
0cbb6189-32a4-4082-9030-4d154097fa24,200 years of slavery.
0cbfdb01-206e-46d8-bbf5-b09cc63685a0,Having anuses for eyes.
0cc7eb16-b9c6-4850-98f6-b9e2a72fd013,Preteens.
0d09f465-fe93-4371-bab3-460adfdfc462,Going on an epic adventure and learning a valuable lesson about friendship.
0d2d282a-3ec0-4871-b330-9a71638fb5d3,Getting inside the Horadric Cube with a hot babe and pressing the transmute button.
0d32088b-0ff4-47a6-b33a-155192cecb87,Tender chunks of all-white-meat chicken.
0d49ba78-c7a9-4114-a53b-84fd2440bc28,Morpheus.
0d813c64-3648-4187-8d81-260f3839b12c,Holding up the line at Walgreens by trying to use an expired coupon.
0da8456a-ff4a-4bfc-99ab-81ea44ae916f,My ugly face and bad personality.
0dc982ec-af5b-41d3-8917-6aa760a53d22,Comprehensive immigration reform.
0de810bd-20b9-40a1-bb7c-76759aa81ff8,Dank ass cancer weed.
0dfc8fa8-b25f-4385-8922-f4457b3f5b23,Weapons grade plutonium.
0e1c7bb4-771f-4017-9ddb-e9d449feae04,Science.
0e1ed95b-8f64-44e2-9894-d74ea99ca107,Giving money and personal information to strangers on the Internet.
0e9fc533-e1a5-4fb0-96e4-7c08d4420513,Drinking out of the toilet and eating rubbish.
0eae748d-163c-4c67-a78f-62287f9f38b3,Executing a hostage every hour.
0ebd8695-03af-4227-8a16-f10ae6003ade,Opposable thumbs.
0f1c07c1-c740-4516-b4e0-3c4129c49d86,"The tiny, calloused hands of the Chinese children that made this card."
0f1ecc08-a9fe-4348-b9ca-4f0cf078cc0b,A dolphin that learns to talk and becomes the Dead of Harvard Law School.
0f28a86a-5f39-4873-8c3d-f7010ad077ce,African children.
0f3220b6-f3c1-4fcb-ba08-7642cb34fa6a,Cheerful blowjob robots.
0f35a87d-dca0-4b74-8c18-d562d732cb8c,Having sex with your mom.
0f3b8d9e-1db2-4fdc-8fd4-010f5ee5f476,Clams.
0f820126-4bf0-4431-8694-67d61843d3f3,A didgeridildo.
0faf1414-1beb-4854-b6f7-5f19a52a7afa,The quiet majesty of the sea turtle.
0fb294d9-ca75-4dcf-81f0-6574e234c930,Some sort of Asian.
0fbf0ce2-177b-4013-9c94-5ecfac0e2614,Spending lots of money.
0fe09fc0-8ec0-4656-8008-f364ee999e3d,Pac-Man uncontrollably guzzling cum.
0fe0f847-7506-4289-9868-64fcf5ebef62,Hating Hillary Clinton.
0ff40cdc-d1c1-42d8-9f7c-90a773b8881d,That thing politicians do with their thumbs when they talk.
100d3f14-012f-404d-8d82-ba794ad37a0c,Inappropriate yodeling.
10195f8c-2f24-486c-85df-cbe41428e8da,The inevitable heath death of the universe.
102ae936-3e72-4586-b5e4-c034384cb296,An unwanted pregnancy.
104b8c1a-ea1a-4db9-9f95-d3fda2beb3b5,"Mr. Squiggle, the Man from the Moon."
10562c0f-fae2-46d6-bb00-d5e04a3db0ec,Letting Bernie Sanders rest his world-weary head on your lap.
105fec9c-b9dd-4c99-88f2-66a7d7153deb,Gwyneth Paltrow's opinions.
107c509f-6c4f-48f5-8f0b-f9afcc7fbb81,Young Republicans.
108b8e7e-7438-4f26-86a3-e8f0a79b3a5a,Being marginalized.
109f5283-bd3b-44ae-ace3-2181a0f897a3,The spooky skeleton under my skin.
10a5c531-9f13-4917-a0f3-8fa9f35293ad,Queuing.
10b1fb86-efe1-4679-9799-121a34e4bb79,Huge popcorn nugs of hairy alien weed.
10be49c8-3ac5-4f30-b6a5-5df637721928,Survivor's guilt.
10cc26f9-6d61-4420-9648-e41eaab234c3,Inserting a jam jar into my anus.
10e29cab-6c1e-4416-8a0c-ffe18ecadc86,Getting high and watching <i>Planet Earth.</i>
10e88bd9-f832-461c-ab3b-f824782d8ae8,A bleached arsehole.
11397913-b265-4f43-8edf-f53bb5bf16eb,Announcing that I am about to cum.
1183ece2-c122-4007-9189-149d65fcd91c,The amount of gay I am.
1187f28e-fd52-4017-b6d8-7798ff0f3d17,Dropping dead in a Sbarro's bathroom and not being found for 72 hours.
11add663-10ef-457d-80d4-78fd9d7406cd,One Ring to rule them all.
11d5733f-eac0-4eeb-bf81-8eccd535f173,The boners of the elderly.
121bd095-d2bc-43b5-b742-21a16619a0d9,A fuck-ton of almonds.
122b1831-eb6b-4948-a62f-8604dd1e5726,Super yoga.
12426d38-2063-4725-9109-bc97fb6cb8f2,Father's forbidden chocolates.
129068cd-4adc-4db6-b8f0-39b20f169a4b,The Genophage.
129a9426-5297-4512-9491-36ba337df76e,Holding down a child and farting all over him.
12a3b3cf-6a44-4741-a003-8ba4a4db147e,The inaudible screams of carrots.
131ad398-6d91-4232-a52d-3365e10eb5c4,Nothing.
1379e1b0-e7d4-434e-a0fa-4b75e7d3eb75,A stingray barb through the chest.
13ef4542-eaca-49cf-b8c5-271812df68e9,The full force of the American military.
1413453a-31ac-4ef4-9972-edcc4a68cfde,Three hours of nonstop penetration.
14257bce-302b-46f7-986d-f792f6c6be21,The entire Internet.
1432a349-7785-48bb-86fd-800d301a0a98,A woman's right to choose.
143cb733-42a7-4d58-9eab-885ef87d18fb,Extremely tight pants.
14947eaa-7054-4f83-9f67-d4c5593d442d,Grandpa's ashes.
14ade12c-d1b0-4a2e-83e8-6ad3e3483475,Being the absolute worst.
14c55dd2-f4d5-4e25-88c7-8ff57ebc4c7b,Pretending to have done the reading.
14d69770-e9ab-4b46-b681-c9ecc85c78f0,Starting to see where ISIS is coming from.
14d9258d-94e8-46da-ac72-42ebe982bbcc,The French.
14d9fb03-daae-4c8b-8b82-931c9366563b,World peace.
14f2e7f6-6395-49a3-b501-50ac5e1f0656,A woman's perspective.
1521efe2-ed7e-496c-aeec-589cbf86dcc3,Forcing a handjob on a dying man.
152ad513-a74d-40d9-a168-a6bf74a7b4aa,The porn set that Tabletop is filmed on.
154c37d1-4fe9-4f58-ab5c-7ebd04c6f646,Wanking into a pool of children's tears.
157a0335-c0ec-4230-9322-30b30f0cbd75,You.
15e588aa-2c11-4d58-8464-7bd2ca9a8f0a,A threesome with 1996 Denise Richards and 1999 Denise Richards.
1600e9fb-1508-4fba-9540-1f5622390210,A weed elemental who gets everyone high.
163262cb-f925-4cef-bead-5fcf83652b01,A box that is conscious and wishes it weren't a box.
163824d2-812d-4a48-87a5-d63d7bb94671,The only gay person in a hundred miles.
1678fcda-f91b-406d-9d85-779aca43e269,Several Michael Keatons.
16c4612e-41d6-404b-8531-4863d4bc9b51,Conservative talking points.
16fd4ec5-a681-40ff-b821-14e5819a449a,Sideboob.
172b995f-2148-488b-86b0-68d1abb46ace,A belly full of hard-boiled eggs.
172c1fb9-a3f9-44c0-9759-cede9d0877fd,Barack Obama.
174988f6-353b-4741-b79b-4dc79bd3c24e,"The 9,000 children who starved to death today."
1755998c-1104-4324-a0eb-a1a156362b25,Getting eaten out by a dog.
175e7ba9-d568-4f9e-b71e-e6aa9afdd44f,Sunshine and rainbows.
176aae95-37df-468a-80ef-79e3d0341735,Seeing Granny naked.
177c527d-aba4-416f-aab8-ee8b2c7910ee,A hopeless amount of spiders.
17a2c07a-5eb4-4251-aae7-7343c3d8a52a,A supermassive black hole.
17a7ac43-3adb-424f-a7b0-cd0041280a2f,Sound fiscal policy.
17a88fbf-0e05-4537-939e-0f98b7f6c84f,The American Dream.
17c3d3e8-065b-405a-9b68-35d849d6c477,How bad my daughter fucked up her dance recital.
17c93a51-5d9a-4172-a84d-cb144c173d4d,Daddy.
17ccda2d-06a4-4707-81bd-6bf2b051d4f2,Mufasa's death scene.
17ed1883-79d1-4855-8dd1-8ec4b89c4f3f,Having a strong opinion about Obamacare.
18060f9e-3a6e-4446-bd1e-8f4fa6303bfd,Chemical weapons.
18446d79-0346-4360-9bcb-a7c40cc83efd,"Sweet, sweet vengeance."
18520645-95ce-43b6-b607-10d3e9b619ea,The unstoppable tide of Islam.
186962f1-9309-45ca-94c2-54492be5c0b0,Blowing some dudes in an alley.
18810661-e098-432c-82ba-35540bda6791,Kale.
18997738-1076-443e-8103-d29253d162c1,Daniel Radcliffe's delicious asshole.
18d06b2c-59d8-454b-9744-05651e833920,Walking into a glass door.
18e63d04-c6e7-4a41-af27-91434ce1b311,Seppuku.
18f677dd-1f04-4195-9319-0a486a320039,Breastfeeding in public like a radiant earth goddess.
1902083e-4eaf-4965-99b3-cbf7f3aae62d,Having shotguns for legs.
1902efa0-b1fe-4b62-9317-a0084ddbaae6,A black friend.
190f85ec-7aad-4106-ac3b-7014550e76d5,Saving 20% or more on khakis.
190fedfb-fa06-4a8b-a6e5-da30f4b5f9be,Space Jam on VHS.
191d9e93-39ff-4336-be2f-b553fbbe37c8,The bombing of Nagasaki.
192ad388-843c-4642-822e-49416fe1ee40,A cheerfulness that belies a deep-seated self-loathing.
19605130-9e78-4b98-bf2f-93d1725e197f,Munchin' puss.
196cbd3f-800b-4eba-8242-b6858b5a6fee,Waiting till marriage.
196e4d7d-85a5-4248-84c6-e0a39c5fcca0,Ripping a dog in half.
198089d0-9689-4828-b0d1-8f72d8ddf08f,White people.
19855915-39ca-45be-8bfa-3ffcc08f83cf,LYNX&reg; Body Spray.
19b37721-ba92-4ef2-9502-c2f97990e3d8,Letting everyone down.
19d3dd2c-a569-4b38-86e5-bc535abf551e,"Harnessing the miraculous power of the atom to slaughter 200,000 Japanese people."
19f80a43-e2b4-4cbf-a185-65994683195e,The feeling of going to McDonald's as a 6-year-old.
1a07c173-b739-4bf3-988e-db44655846f5,The miracle of childbirth.
1a19da9b-2111-44f1-bf6b-8f6a4e1807a1,A creature made of penises that must constantly arouse itself to survive.
1a1fc5fc-3ce7-40a7-944f-eace89bbb97d,Madeleine McCann.
1a254fbb-345c-448f-a63f-948903d53ff0,Daddy going away forever.
1a66ddb8-2b20-46b4-abe4-cbfffec85fb8,A thrilling chase over the rooftops of Rio de Janeiro.
1a8c984b-ec9b-41a3-b689-3f0156b205c1,Fear itself.
1a91c609-b9ee-4fed-baa3-769708ff7b8f,Being a busy adult with many important things to do.
1a9789a5-be04-42ac-96c4-c5918604587d,Playing my asshole like a trumpet.
1aaebe02-7091-431e-b819-9b325cdca7fe,An M16 assault rifle.
1ab9592b-4600-450c-8379-c533cba159e9,Drinking responsibly.
1ac7c7a2-f0ec-4fad-a4ac-222dcc74b5fd,The economy.
1af9058e-e017-430d-8b65-1c201ca1e510,Throwing grapes at a man until he loses touch with reality.
1b009ffc-5b7b-44e1-bfb3-c775f4e9c2a3,The wonders of the Orient.
1b744687-2f2f-4f89-b979-a6cc12be9310,Sitting on my face and telling me I'm garbage.
1b76e699-74be-4de9-84e8-fc6e38eb0947,Genetically engineered super-soldiers.
1b927652-52ab-4b06-8202-0cb269bb5eeb,Pulling out a never-ending tampon.
1be24fd8-f1c5-44b2-921d-56bec06e1083,Just touching David Beckham's hair.
1c30a04d-d4d3-4197-b0fe-d4190a162670,Art.
1c848383-68e0-404f-9c0c-7741e971e931,The royal afterbirth.
1cbcdba8-0e8b-46e4-93bc-90df2639d4be,Braiding three penises into a Twizzler.
1cd64ce4-ce05-44b4-ba8c-a8dd77a2b789,Kneeing a wizard in the balls.
1d1e2972-5450-4335-884c-1fc947a1638a,Suddenly remembering that the Holocaust happened.
1d2c1ea6-58d9-47fb-9acb-54a6ea06a651,Whooping your ass at Mario Kart.
1d2e049f-2c6e-4de8-97e6-86eeb5ea6a55,Huge biceps.
1d55bad5-3ee3-464d-b7e2-cc0c06187d1f,Hot doooooooogs!
1d6b2394-fc98-46fe-8150-a43821aceef0,Ruth Bader Ginsberg brutally gaveling your penis.
1d71b8a7-8375-4665-8802-49035facf025,My balls on your face.
1da301fd-a0b1-4d04-a706-ddc751d7ee10,Cock.
1db4f610-bdee-4c1d-aaad-3f1e88c95b69,Autocannibalism.
1db7209d-34c8-4edb-bdde-528f49fa9b2f,Laying thousands of eggs in a man's colon.
1dc10605-283a-4ecd-88d2-e4bcce6cc9d9,A fully-dressed female videogame character.
1dd03fb4-3d59-4523-b374-f0b6e49575fe,Crying into the pages of Sylvia Plath.
1dd058c6-80b5-46ae-a572-7453373277bf,Snoop Dogg.
1dde009d-77c5-4d07-b4c3-0bd25c7911bc,A stack of bunnies in a trenchcoat.
1e00a4fe-a5f5-404f-a4cc-900cd90b9c4e,A gender identity that can only be conveyed through slam poetry.
1e2038ba-7fee-4862-a068-8cc41eef461e,Buying the right toothbrush cup for my lifestyle.
1e40b89e-384b-4f46-a55e-243529fcc46f,Anything that comes out of Prince Philip's mouth.
1e423bb9-fb7c-42a4-8ddc-8d3d7c6868b1,The true meaning of Christmas.
1e586dd8-eef8-4a70-9e3c-d48966d45dfe,Real cheese flavor.
1e806e6c-f3d6-4221-bede-dd095c2685fd,Clamping down on a gazelle's jugular and tasting its warm life waters.
1e85ed57-5d4f-4093-b0a0-fbd85cdf8ebe,Crippling social anxiety.
1e932ce3-06be-4ec1-8339-3d6581ac1af9,"Uggs, leggings, and a North Face."
1e93e595-8ead-478a-bc67-861f8f930df1,A buttload of candy.
1e9f04ab-0a3c-4eeb-bca3-d7aab274b0ff,The Sarlacc.
1eb0aeec-3faf-415f-aa12-54670d3b3471,"Consensual, nonreproductive incest."
1ede958b-8be3-46a0-a47d-c978b47034d7,Stephen Hawking talking dirty.
1ef520ba-df10-4208-8575-2d50c5355553,Panda sex.
1f007b77-6381-4307-9ea8-6894d816b76e,A shiny rock that proves I love you.
1f06c34f-6f49-446d-a7fc-5c014c092eb7,Teenage pregnancy.
1f234fc0-1d2f-4c81-9237-d9529b7231cf,Covering myself with Parmesan cheese and chili flakes because I am pizza.
1f3ca3bc-779b-4338-9e73-ef4ad2b6e6bb,Some of that good dick.
1f41ed45-46ab-4b7f-8508-bd14e1e5c2e8,The fact that Hillary Clinton is a woman.
1f44dfcc-fc70-4c82-b13a-db01b483aca3,Leveling up.
1f5446af-bf0c-49cb-ab0e-c2ab1324c116,Statistically validated stereotypes.
1f9284bb-2310-4382-b4f3-b4295971ce7f,The bloody Welsh.
1f9b97e4-65a0-426d-82f4-b2d8351bf1a9,Beep beep boop beep boop.
1fc48b4e-ceb6-4a61-bb30-32ba51968540,Bosnian chicken farmers.
200f5ddd-b251-4bf4-aed1-9f36468b3ce9,Eating the president's pussy.
20144ae5-d4ad-4cb1-870e-d637289aaf4a,Filing my son with spaghetti.
2018ab81-5087-4beb-b326-2b646029ba7d,How sad it will be when Morgan Freeman dies.
2027d497-eae8-4906-997d-d46dcbbd3152,Mixing M&amp;Ms and Skittles like some kind of psychopath.
203ca1f9-a12e-4cc5-91f3-3e6b387254a7,A sober Irishman who doesn't care for potatoes.
204c43f2-9de9-45a7-8e4a-a6d5bc0ecbe1,Thinking about what eating even is.
20501f40-16e3-4038-8263-6106a4104525,Period poops.
20648452-cb56-4375-a9fb-a8f65b1c6b8a,Catching a whiff of my vag.
2069c332-e237-469b-b979-5e8c15f13c74,Antidepressants.
20706318-f5b6-4a18-bea8-b1f978cbe788,Unfathomable stupidity.
20b3424e-2ffa-46df-8ee1-a12eacfa481a,Summoning Harold Holt from the sea in a time of great need.
20bd19ec-d4b5-4cdd-ae21-ae5338874f80,Getting drive-by shot.
20be78fd-fdcf-44bd-a774-637d9585dc4c,A pile of squirming bodies.
20bf4dbe-2fee-452e-a3c9-fc7578af10e0,David Attenborough watching us mate.
20d15424-b0f6-4874-a6cd-d1f228d4e8b4,Dead babies.
20db04ed-b094-4825-9a34-723b41bebb55,The sweet song of sword against sword and the braying of mighty war beasts.
20f33fef-01b7-4548-8b97-1304208a920b,All the dues I've fucked.
214a5a59-db3b-449a-b134-f16065a3834f,Nuclear winter.
214cdff7-7239-4ddc-b130-20b16278fe07,Actually voting for Donald Trump to be President of the actual United States.
215d9a0e-3163-4478-b0b4-1476a3ca033d,"Meatloaf, the food."
21c155d9-a9ff-4d5b-b1f2-fd7ab874a5c4,Slicing a ham in icy silence.
21d8e280-6b05-438a-8e81-e755c32f3211,The white half of Barack Obama.
21e6c0e2-ce82-4478-8e12-6fb96eaf398d,Fucking the beat boxer from the a cappella group.
21e80948-3951-4dbe-9384-cdae4619d943,A man in a suit with perfect hair who tells you beautiful lies.
223f997b-c529-4212-8ff8-3c1703442fc1,The J15 Patriot Assault Box.
22483196-72aa-450a-b58d-7704c64f6c64,The lived experience of African Americans.
22538ba9-4340-416b-a324-b4c2ac4309a6,Smoking a blunt butt-ass naked.
22ba1b2f-2eef-4e60-a6ad-948da0d6f5f9,Casting Magic Missile at a bully.
22bfa17b-ef57-48d2-a14a-1e8319d7cb4c,"Soft, kissy missionary sex."
22cc039d-3807-4c06-a730-62cf4abfefba,Going too far with science and bad things happening.
230d1ae1-22bd-428f-a45e-3f1f661b1bd0,The black half of Barack Obama.
2322f68c-48d4-4930-9a19-ddf667397ffe,Waking up half-naked in a Macca's car park.
23b5c7c6-c50c-41b2-8860-cffa5f124f9b,"Probably Grandma's last Christmas, kids."
23c3c3f8-e774-4dad-b5c6-4c571448488c,Natural male enhancement.
23ed71d0-97c0-4c20-8405-ab6f637f1281,Poverty.
24442ee5-838e-49fb-923f-6a8f57bb0ac6,Whoopi Goldberg.
2444cbe8-572b-4677-9515-1e38b66184af,Making out and stuff.
247363da-4d9b-40fd-b1e0-d2a02fba3b93,My relationship status.
247fa117-5ee4-427e-941e-c431354a1b3f,"Actually getting shot, for real."
248f6cf4-6bcc-46ab-a6bb-deae750504e6,The decade of legal inquests following a single hour of Grand Theft Auto.
24f9a7cc-75d5-41b4-88fd-444fcf34f797,A cold and indifferent universe.
2515f721-da63-4900-b42d-9b8f8d117af0,Not wearing pants.
2526a527-728d-44a8-b642-d03523d47161,Anal.
2527a868-61a7-47e3-878d-5060eb8c804e,Seven minutes of terror.
25365220-f422-45ac-b87f-4e95c2a2ea7e,Living in Yellowknife.
253b7f8b-d913-42e9-89f3-7d7fc36fd4de,Itchy pussy.
25a94967-9b3c-4f29-b42e-aafbe3a0c0a2,Bags of money.
25b8442d-27a5-4a9e-8627-d0b01617be1d,A slowly encroaching circle of wolves.
25c044e8-bf2a-4e80-8491-7ad6b09ec281,This groovy new thing called LSD.
25c0919f-34aa-4733-bd16-0d5e712350d0,Eating people.
25c7e11e-f208-4bba-9b3f-6aa33705ea67,Filling a man's anus with concrete.
25e76ee7-c599-4ec9-99d7-1e21f82c0fa1,Lagging out.
25ffabf5-b104-4072-b26b-e524bea28c9a,Pooping in a laptop and closing it.
2620bc89-6569-4af7-b42f-76127ef36665,Seething with quiet resentment.
2628bae3-a5b9-43c8-bc1f-7d684478402e,Falling in love with poetry.
2658c32f-d02f-4b4b-9d52-fdc922837867,The full blown marginalization of ugly people.
26798d87-f024-4372-8dab-9e5636e42812,My high school boyfriend.
2690aece-eaac-4fe6-a9f5-97fa73027fda,A world without boxes.
26b08d90-b650-4349-8b4e-c3873b33b233,The Boxcar Children.
26b46863-a795-4e67-8118-e807da945e14,Some bloody peace and quiet.
26f348c9-e22a-48bc-b3a6-5f00fde058c0,Oncoming traffic.
2729e42b-2956-4d07-b2e1-606608de348e,Seeing things from Hitler's perspective.
27389b60-17c3-48af-bcc4-db2f0022b2e6,Hot lettuce.
274fff79-9d93-4365-b719-038a80375bd3,The Cock Ring of Alacrity.
2762afbd-c29a-4404-8d6b-3874671c257f,Mall Santa.
27824758-ba21-4164-8cc4-fa24648958ba,Powerful thighs.
278ee324-8deb-4563-bc9a-26366383cdf7,One trillion dollars.
27a9b7ea-fd67-4357-aad5-3b3c39c0bb88,The Great Cornholio.
280db052-e0c7-425a-aa5e-08c0baec5e3f,Academy Award winner Meryl Streep.
2812e6e7-df5e-4b63-9e85-412caebbc4fd,Masturbating.
2820afaa-0139-4b9e-8d45-ccf48e934f80,A possible Muslim.
282367af-c5b2-433a-b35d-309b68cb8d7b,Calling mom because it's just really hard and I miss her and I don't know anyone here.
2826d6f7-b192-4ef6-a50c-892ab17f6360,Sweating it out on the streets of a runaway American Dream.
28325216-96d4-463b-a522-2ddd07bcd1bd,Bone-shattering sex with a metal woman.
284fc9aa-2b65-4cfb-adcc-f46896696f4c,Googling.
2889e5e9-5767-4e55-b33a-fb1950f2178f,An old guy who's almost dead.
28b37c77-c032-4394-b2bb-3b4f6710f94b,The dying breath of the last human.
28b6ce77-3377-4cdc-a474-8506e848b95f,A live studio audience.
28ca2614-4789-4be9-96ac-739b0b55e760,My sex life.
28def062-13c8-410e-b389-9fab0f616672,The Dial-A-Slice Apple Divider from Williams-Sonoma.
28f57d0a-13f8-4c45-9c57-e9b41ffad2ad,"10,000 Syrian refugees."
29053688-4e60-4430-be2e-8ff24b85041d,A sex comet from Neptune that plunges the Earth into eternal sexiness.
